Name,Address,Latitude,Longitude,City,Price Tier,Price Segment (1-10),Marker Color,Operator Mention Count,Operators Confirmed,Hotel Stars,Description
RiverTown Hoi An Resort & Spa,"30 Le Dai Hanh, Cua Dai, Hoi An, Quang Nam, Vietnam",15.888,108.368,Hoi An,5 - Mid-range,5,#C0CA33,1,FUN&SUN,4,Stars: 4. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (1): FUN&SUN
Royal Lotus Hotel Danang,"Royal Lotus Hotel, 120, Đường Lê Quang Đạo, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50507, Việt Nam",16.0546393,108.2434155,Da Nang,5 - Mid-range,5,#C0CA33,1,ANEX,4,Stars: 4. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (1): ANEX
Royal Riverside Hoi An Hotel,"04 Nguyen Phuc Chu, Hoi An, Quang Nam, Vietnam",15.878,108.335,Hoi An,2 - Very cheap,2,#2E7D32,1,TEZ,4,Stars: 4. Price tier: 2 - Very cheap. Price segment: 2/10. Operators (1): TEZ
Sabina Hotel & Apartment,"63 Duong Dinh Nghe, An Hai Bac, Son Tra, Da Nang, Vietnam",16.0687168,108.2423129,Da Nang,3 - Cheap,3,#43A047,1,TEZ,3,Stars: 3. Price tier: 3 - Cheap. Price segment: 3/10. Operators (1): TEZ
Samdi Hotel,"331 Nguyen Van Linh, Thanh Khe, Da Nang, Vietnam",16.0598789,108.210489,Da Nang,3 - Cheap,3,#43A047,1,TEZ,4,Stars: 4. Price tier: 3 - Cheap. Price segment: 3/10. Operators (1): TEZ
Sandy Beach Non Nuoc Resort Danang,"Sandy Beach Non Nuoc Resort, Đường Trường Sa, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50510, Việt Nam",15.9980738,108.2698245,Da Nang,5 - Mid-range,5,#C0CA33,1,Pegas,4,Stars: 4. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (1): Pegas
Shilla Monogram Danang,"Shilla Monogram, Đường Võ Nguyên Giáp, Phường Điện Bàn Đông, Thành phố Đà Nẵng, Việt Nam",15.9634716,108.2893823,Da Nang,8 - Premium,8,#F4511E,1,ANEX,5,Stars: 5. Price tier: 8 - Premium. Price segment: 8/10. Operators (1): ANEX
Silk River Hoi An Hotel & Spa,"222 Tran Hung Dao, Cam Pho, Hoi An, Quang Nam, Vietnam",15.8765,108.3217,Hoi An,5 - Mid-range,5,#C0CA33,1,FUN&SUN,4,Stars: 4. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (1): FUN&SUN
Sunrise Premium Resort & Spa Hoi An,"Thon 1, Au Co, Cua Dai, Hoi An, Quang Nam, Vietnam",15.8895283,108.3788268,Hoi An,5 - Mid-range,5,#C0CA33,1,TEZ,5,Stars: 5. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (1): TEZ
The Nature Villas & Resort,"The Nature Villas and Resort, Lien Chieu, Da Nang, Vietnam",16.09497,108.14611,Da Nang,3 - Cheap,3,#43A047,1,TEZ,3,Stars: 3. Price tier: 3 - Cheap. Price segment: 3/10. Operators (1): TEZ
TIA Wellness Resort,"Tia Wellness Resort, Đường Võ Nguyên Giáp, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50507, Việt Nam",16.03117,108.2551994,Da Nang,9 - Luxury,9,#E53935,1,PSG,5,Stars: 5. Price tier: 9 - Luxury. Price segment: 9/10. Operators (1): PSG
Vinpearl Da Nang Resort & Villas,"23 Truong Sa, Hoa Hai, Ngu Hanh Son, Da Nang, Vietnam",16.0217,108.2558,Da Nang,8 - Premium,8,#F4511E,1,China Travel,5,Stars: 5. Price tier: 8 - Premium. Price segment: 8/10. Operators (1): China Travel
Boutique Hoi An Resort,"Boutique Hội An Resort, Võ Nguyên Giáp, Trà Quế, Phường Hội An Tây, Thành phố Đà Nẵng, 51313, Việt Nam",15.9035576,108.3540871,Hoi An,6 - Upper mid-range,6,#FDD835,0,n/a,4,Stars: 4. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (0): n/a
Four Points by Sheraton Danang,"Four Points by Sheraton Danang, 118-120, Đường Võ Nguyên Giáp, Phường An Hải, Thành phố Đà Nẵng, 50408, Việt Nam",16.0778724,108.2451737,Da Nang,6 - Upper mid-range,6,#FDD835,0,n/a,5,Stars: 5. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (0): n/a
New Orient Hotel Danang,"New Orient Hotel, 20, Đường Đống Đa, Thanh Bình, Phường Hải Châu, Thành phố Đà Nẵng, 50207, Việt Nam",16.0825866,108.2214313,Da Nang,4 - Value,4,#7CB342,0,n/a,4,Stars: 4. Price tier: 4 - Value. Price segment: 4/10. Operators (0): n/a
Wyndham Soleil Danang,"Wyndham Soleil Danang, Phường An Hải, Thành phố Đà Nẵng, Việt Nam",16.0710756,108.2436243,Da Nang,6 - Upper mid-range,6,#FDD835,0,n/a,5,Stars: 5. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (0): n/a
